날짜,,글 제목,게시글 URL,,,,댓글,조회수,,,,병원,작업자
2026-01-20,,실리프팅 병원 두군데 괜찮겠죠?,https://cafe.naver.com/suddes/4016617,,,,2,14,,,,,김채운 매니저
2026-01-16,,일단 상담가서 실 추천받아보게요,https://cafe.naver.com/feko/10309959,,,,7,57,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-14,,살처짐이랑 팔자주름 빨리 없애고싶다...,https://cafe.naver.com/feko/10299089,,,,7,34,,,,,김채운 매니저
2026-01-13,,상담가서 실 추천 받아보면 되겠죠?,https://cafe.naver.com/feko/10295039,,,,4,7,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-12,,실리프팅 상담 받아보고 결정하려해요,https://cafe.naver.com/feko/10289731,,,,2,9,,,,,김채운 매니저
2026-01-09,,팔자주름에 실리프팅 어때요?,https://cafe.naver.com/suddes/4011731,,,,7,17,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-08,,실리프팅 실 어떤걸로 받으셧어요!?,https://cafe.naver.com/feko/10278306,,,,8,42,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-06,,실리프팅 병원 추천해주세요~,https://cafe.naver.com/feko/10269765,,,,5,22,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-02,,실리프팅 상담 빠르게 다녀보려구요ㅎㅎ,https://cafe.naver.com/feko/10259091,,,,6,43,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-31,,실리프팅 회복 어느정도 걸릴까요?,https://cafe.naver.com/feko/10254318,,,,8,89,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-31,,실리프팅 상담 가볼까봐요,https://cafe.naver.com/suddes/4007918,,,,8,28,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-30,,실리프팅 상담 몇군데정도 가요!?,https://cafe.naver.com/suddes/4007330,,,,10,31,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-30,,요즘 실리프팅으로 많이 관리하네요!?,https://cafe.naver.com/feko/10250389,,,,15,94,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-26,,더 늦기전에 실리프팅 빨리 알아봐야겠어요,https://cafe.naver.com/feko/10240059,,,,9,101,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-19,,40대후반 실리프팅 어때요?,https://cafe.naver.com/suddes/4002859,,,,10,35,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-17,,얼굴살 흘러 내려서 뭐라도 해야해요ㅠㅠ,https://cafe.naver.com/feko/10211254,,,,24,137,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-15,,실리프팅 회복 어느정도 걸릴까요!?,https://cafe.naver.com/suddes/4000279,,,,7,32,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-11,,이마줄어드니까 얼굴형도 고민이다ㅠㅠ,https://cafe.naver.com/feko/10191268,,,,4,61,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-09,,실리프팅 병원 두군데 어때요?,https://cafe.naver.com/feko/10182324,,,,15,155,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-08,,실리프팅 효과 좋다해서 저도...ㅎㅎ,https://cafe.naver.com/feko/10177087,,,,5,75,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
