날짜,,글 제목,게시글 URL,,,,댓글,조회수,,,,병원,작업자
2026-01-19,,밸런스랩에서 실리프팅 받으러 갑니다,https://cafe.naver.com/feko/10317815,,,,4,77,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-15,,라포엘실로 처진 살 당기구왔어요!,https://cafe.naver.com/feko/10304573,,,,4,48,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-07,,밸런스랩에서 실리프팅 받아요!,https://cafe.naver.com/feko/10274274,,,,9,309,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2026-01-05,,실리프팅 삼주차 회복 충분하네요!,https://cafe.naver.com/feko/10265447,,,,4,94,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-26,,밸런스랩 실리프팅 효과 좋네요,https://cafe.naver.com/feko/10240102,,,,36,674,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-18,,실리프팅 받은지 3일차 생각보다 괜찮아요,https://cafe.naver.com/feko/10215864,,,,4,195,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-16,,라포엘실 이물감 크지 않아서 괜찮네요!,https://cafe.naver.com/feko/10206398,,,,6,128,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-12,,라포엘실로 실리프팅 받기로 했어요!,https://cafe.naver.com/feko/10195165,,,,22,107,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-10,,밸런스랩 리프팅 상담 너무 만족이에요!,https://cafe.naver.com/feko/10186346,,,,16,284,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-12-05,,엄마 실리프팅 받고 너무 만족해하네요!☺️,https://cafe.naver.com/feko/10171061,,,,11,80,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-27,,라포엘실 이거 효과 좋네요!,https://cafe.naver.com/feko/10141824,,,,30,222,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-26,,,https://cafe.naver.com/feko/10136968,,,,0,0,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-25,,오후에 밸런스랩 실리프팅 받으러가요!,https://cafe.naver.com/feko/10132212,,,,0,1354,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-19,,라포엘실로 실리프팅 예약 완료!,https://cafe.naver.com/feko/10111917,,,,6,118,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-18,,엄마 실리프팅 상담받고 밸런스랩에서 하기로 정했어요!,https://cafe.naver.com/feko/10109608,,,,15,299,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-12,,밸런스랩에서 실리프팅 성공~!,https://cafe.naver.com/feko/10087888,,,,51,677,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-06,,실리프팅 밸런스랩에서 받았어요!,https://cafe.naver.com/feko/10068477,,,,10,456,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-05,,엄마도 라포엘실로 실리프팅 받았어요☺️,https://cafe.naver.com/feko/10064232,,,,3,104,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-04,,밸런스랩 실리프팅 상담 받았어요!,https://cafe.naver.com/feko/10060059,,,,13,837,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
2025-11-03,,금요일에 라포엘실로 리프팅 받고왔어요~,https://cafe.naver.com/feko/10055882,,,,3,100,,,,A&A (내부용) (https://www.notion.so/A-A-223286f326ff80c587ead1395d06302c?pvs=21),김채운 매니저
