날짜,,게시글 URL,댓글,조회수,작업자,글 제목,쪽지 수량
2026-02-19,,https://cafe.naver.com/feko/10419951,0,18,고서진 팀장,[피부] 압구정 올타이트리프팅 1달차 후기입니다,
2026-02-11,,https://cafe.naver.com/fox5282/4690807,0,0,고서진 팀장,,
2026-02-05,,https://cafe.naver.com/feko/10383025,1,10,고서진 팀장,올타이트리프팅 400샷 한달 후기 공유해요!,
2026-02-04,,https://cafe.naver.com/feko/10379226,0,20,고서진 팀장,압구정 올타이트리프팅 효과 궁금해서 결국 시술까지 받아봤어요,
2026-01-29,,https://cafe.naver.com/feko/10357884,22,132,고서진 팀장,압구정 올타이트리프팅 400샷 효과 좋아요,2
2026-01-23,,https://cafe.naver.com/feko/10336460,1,113,고서진 팀장,압구정 올타이트리프팅 효과 좋은 병원 찾는 분들 참고하세요,
2026-01-20,,https://cafe.naver.com/feko/10322046,4,77,고서진 팀장,팔자주름 고민!!! 올타이트리프팅 효과에 감탄했어요 (피에이치디피부과),
2026-01-16,,https://cafe.naver.com/feko/10310202,4,130,고서진 팀장,팔자 이중턱 고민으로 피에이치디피부과 올타이트리프팅 상담 다녀온 후기,1
2026-01-13,,https://cafe.naver.com/feko/10296589,18,169,고서진 팀장,압구정 피부과 전문의 상담 후 올타이트리프팅 후기(피에이치디피부과 리프팅 만족도),3
2026-01-08,,https://cafe.naver.com/fox5282/4638891,16,251,고서진 팀장,올타이트 리프팅 후기 피부과 전문의 상담 기준으로 고른 병원 통증 볼패임 걱정 없이 받은 솔직 후기,2
2026-01-07,,https://cafe.naver.com/feko/10275683?art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtc2hhcmUtbGluaw.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjEwMjc1NjgzLCJpc3N1ZWRBdCI6MTc2Nzc2ODgxMzAxNCwiY2FmZUlkIjoxMDkxMjg3NX0.NsUbC2hCbhcN3Nn0mUB9GNdsMRdafOszvk87cxigh14,10,253,고서진 팀장,올타이트리프팅 후기,5
2026-01-05,,https://cafe.naver.com/feko/10265476,12,282,고서진 팀장,압구정 phd 피부과 전문의 상담 받아보고 느낀 점,4
2026-01-02,,https://cafe.naver.com/feko/10259687,16,152,고서진 팀장,압구정피부과 올타이트리프팅 시술 후기,3
