날짜,,글 제목,게시글 URL,,,,댓글,조회수,,,,병원,작업자
2026-01-21,,강남12에서 관리받고 얼굴리프팅 제대로 된것같아요ㅠㅠㅠ,https://cafe.naver.com/feko/10327476,,,,,,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),김채운 매니저
2026-01-20,,강남12의원 실리프팅 상담후기 가져왔어요,https://cafe.naver.com/feko/10323250,,,,2,45,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),조숙현 팀장
2026-01-19,,강남12에서 언니까지 실리프팅 받아버렸어요ㅎㅎ,https://cafe.naver.com/feko/10316633,,,,1,32,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),김채운 매니저
2026-01-16,,강남역 중년 실리프팅 강남12 후기~,https://cafe.naver.com/feko/10311112,,,,20,213,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),조숙현 팀장
2026-01-15,,강남12 울쎄라피프라임 2주차 후기,https://cafe.naver.com/feko/10306640,,,,6,71,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),조숙현 팀장
2026-01-15,,60대 엄마 강남12 실리프팅 후기,https://cafe.naver.com/feko/10306367,,,,2,108,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),조숙현 팀장
2026-01-15,,강남12에서 울쎄라피프라임으로 또 관리 받았어요ㅎㅎ,https://cafe.naver.com/feko/10303685,,,,1,18,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),김채운 매니저
2026-01-14,,강남12 실리프팅 울쎄라피프라임 괜찮네요,https://cafe.naver.com/feko/10298936,,,,5,40,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),김채운 매니저
2026-01-13,,리프팅 맛집! 강남12 실리프팅 3주차 후기,https://cafe.naver.com/feko/10297027,,,,6,104,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),조숙현 팀장
2026-01-13,,부모님 살처짐 심하면 강남12에서 실리프팅 해드리세요,https://cafe.naver.com/feko/10296271,,,,8,44,,,,강남12의원 (내부용) (https://www.notion.so/12-223286f326ff800a87b5d7b5f47a6b12?pvs=21),김채운 매니저
