날짜,,글 제목,게시글 URL,,댓글,조회수,쪽지 수량,,,,,,병원,작업자
2025-08-05,,코수술 3달차인데 성공한거 같다 매부리도 그렇고 복코도 그렇고 잘된듯;;,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6042165,,1,286,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-05,,자연스럽게 코 잘하는 병원들 알려주세용,https://cafe.naver.com/feko/9767909,,19,176,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-06,,코수술 진짜 자연스럽게 하려고 하는데ㅜㅜ,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6044955,,2,299,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-07,,일미리 다름 아이큐 어때요? 상담후기나 수술후기!,https://cafe.naver.com/feko/9774123,,2,128,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-07,,진심 코재수술은 무조건 자연스럽게 받을거야;;; 환멸난다,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6048192,,8,453,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-21,,코수술 자연스럽게 잘해주는 병원!,https://cafe.naver.com/feko/9820013,,8,118,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-21,,코때문에 병원 발품갔을때 원장님,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6094993,,5,253,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-27,,,https://cafe.naver.com/feko/9840126,,0,0,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-04,,코 망해서 재수술 해야하는데 너희는 꼭 한번에 성공해라,https://sungyesa.com/new/free/6136218,,6,556,1,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-10,,,https://cafe.naver.com/feko/9888618,,0,0,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
