날짜,,글 제목,게시글 URL,,,,댓글,조회수,,,,병원,작업자
2025-06-26,,팔뚝 아웃핏주사 1달차 느낀점이랑 효과 공유해요,https://cafe.naver.com/feko/9629366,,,,9,487,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-06-26,,요요없이 살빼고싶어서 다이어트병원 알아보고 있는데요~!,https://cafe.naver.com/feko/9629141,,,,1,23,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-06-30,,다이어트성지라고 핫한 다이어트병원...,https://cafe.naver.com/feko/9642757,,,,5,109,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-06-30,,허벅지 살 박살내버리고싶다.....,https://cafe.naver.com/fox5282/4243817,,,,9,89,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),김채운 매니저
2025-07-01,,원장님까지 정했으니 상담 잡았어요ㅎㅎㅎ,https://cafe.naver.com/feko/9647592,,,,2,81,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),김채운 매니저
2025-07-01,,,https://cafe.naver.com/feko/9647107,,,,0,0,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),김채운 매니저
2025-07-01,,지방추출주사 최근에 상담 받아보신 분,https://cafe.naver.com/feko/9645580,,,,2,88,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-07-03,,상담 가기전 체크사항 있나요?,https://cafe.naver.com/feko/9656792,,,,3,48,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),김채운 매니저
2025-07-04,,팔뚝살 썰어버리고 싶은데,https://cafe.naver.com/feko/9659542,,,,0,62,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-07-04,,밸런스랩성형외과 다이어트수액 비만약 가격,https://cafe.naver.com/feko/9659158,,,,2,91,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-07-07,,밸런스랩 아웃핏주사 원장님 추천 🥹,https://cafe.naver.com/feko/9668114,,,,2,374,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-07-07,,다이어트수액 생각보다 효과 너무 좋은데요???,https://cafe.naver.com/feko/9668053,,,,8,87,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),차예나 매니저
2025-07-07,,여름휴가전에 살 빼야대요.... 무조건요....,https://cafe.naver.com/feko/9667605,,,,3,22,,No,,밸런스랩성형외과 (내부용) (https://www.notion.so/21d286f326ff80489e35c25e18dcfcf9?pvs=21),김채운 매니저
