날짜,글 제목,게시글 URL,,,,댓글,조회수,,,,병원,작업자
2025-10-17,레이저 + 콜라겐 스킨부스터 매쿰 꿀조합이요,https://cafe.naver.com/feko/10003103,,,,1,108,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-17,안아프고 효과 좋은 스킨부스터 추천,https://cafe.naver.com/feko/10002878,,,,3,50,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-16,피부 건조하고 모공 커보여서 스킨부스터 받은 후기,https://cafe.naver.com/feko/9999311,,,,4,46,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-14,매쿰 콜라겐 스킨부스터 효과 너무 좋자낭ㅎㅎㅎ,https://cafe.naver.com/feko/9991345,,,,2,26,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-10,스킨부스터 매쿰 효과 미친거 알아왔어요,https://cafe.naver.com/feko/9977488,,,,2,25,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-10,속건조랑 모공 때문에 콜라겐부스터 받아봤는데 매쿰 효과 좋으네요,https://cafe.naver.com/cosmania/38243156,,,,0,28,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-10-03,콜라겐 스킨부스터 매쿰 솔직 후기,https://cafe.naver.com/feko/9969192,,,,7,35,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-09-29,,https://cafe.naver.com/parisienlook/5584804,,,,0,0,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-09-29,스킨부스터 특히 콜라겐부스터 고민중이시면 매쿰 추천이요 효과랑 유지력 미침👍👍,https://cafe.naver.com/feko/9954460,,,,4,42,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
2025-09-24,콜라겐 스킨부스터 유목민의 매쿰 시술 후기 + 그동안 맞아본 시술들 정리,https://cafe.naver.com/feko/9941096,,,,4,161,,,,사치바이오 (내부용) (https://www.notion.so/233286f326ff80e789a9f4bf12bfcb71?pvs=21),차예나 매니저
