날짜,,글 제목,게시글 URL,,댓글,조회수,,,,,,,병원,작업자
2026-01-21,,서진성형외과 모발이식 상담 받고 왔습니다,https://daedamo.com/graftafter/70741,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2026-01-20,,26살 여자 M자 이마 고민…서진성형외과 수술 예약 잡고 왔어요,https://daedamo.com/hairline/49530,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2026-01-20,," 점점 얇아지는 모발, 심해지는 M자 서진성형외과에서 모발이식 했습니다   ",https://daedamo.com/photo2/634296,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2026-01-15,,[서진성형외과] 모발이식 1년 지난 만족 후기입니다.,https://daedamo.com/graftafter/70679,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2026-01-14,,모발이식 상담 받고 수술 날짜 잡았습니다,https://daedamo.com/graft/608742,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),김예지 매니저
2026-01-12,,[서진성형외과] M자 탈모 + 수염 밀도 고민으로 모발이식 수염이식 같이 한 후기 ,https://daedamo.com/photo2/633786,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2026-01-07,,[서진성형외과] 유전성 탈모 때문에 지난 달 수술 받았음요,https://daedamo.com/graftafter/70581,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2026-01-06,,[서진성형외과] 탈모 때문에 나이가 훨씬 들어 보여 모발이식한지 1년이 됐습니다,https://daedamo.com/photo2/633370,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2026-01-05,,서진성형외과 이마축소 흉터 모발이식 상담 후기,https://daedamo.com/graftafter/70557,,,,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2025-12-30,, 넓은 이마 비어 보이는 정수리 때문에 서진 상담 다녀왔는데용,https://daedamo.com/graft/607111,,3,107,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2025-12-29,,서진성형외과 모발이식 만족 후기 ,https://daedamo.com/photo2/632688,,1,117,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2025-12-23,,깊은 M자 때문에 서진성형외과에서 모발이식 했어요,https://daedamo.com/photo2/632260,,1,177,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2025-12-18,,직장 동료 소개로 서진성형외과에서 여자 헤어라인 모발이식 받은 후기 ,https://daedamo.com/graft/605847,,5,211,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2025-12-17,,비절개 2천모 모발이식 서진성형외과에서 한지 일주일 됐습니다,https://daedamo.com/photo2/631906,,1,299,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2025-12-16,,친구 추천 받아 헤어라인 수술한지 4주차,https://daedamo.com/hairline/48928,,12,255,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2025-12-12,,압구정 서진성형외과 여성헤어라인 이마축소 모발이식 1년 지난 후기,https://daedamo.com/photo2/631496,,3,351,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),고서진 팀장
2025-12-08,,서진성형외과에서 유전성 M자 탈모+관자 3500모 모발이식 했습니다,https://daedamo.com/photo2/630994,,4,327,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
2025-12-05,,모발이식 상담 받아보고 왔습니다,https://daedamo.com/story/2018078,,6,223,,,,,,,서진성형외과 (내부용) (https://www.notion.so/2b2286f326ff80309ba5f3d3a00616ff?pvs=21),김예지 매니저
