날짜,게시글 URL,,,댓글,조회수,글 제목,,,,,병원,,작업자
2025-08-05,https://cafe.naver.com/luxury009/1314899,,,4,63,단차 때문에 재수술 받으려고 하는데요.....,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-06,https://cafe.naver.com/feko/9772245,,,8,100,코수술 무보형물 정보 궁금해요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-07,https://cafe.naver.com/feko/9776216,,,6,84,코수술 많이가는 병원 손발품,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-11,https://cafe.naver.com/feko/9787909,,,15,170,자연스럽게 코수술 잘하는 원장님 공유해주세요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-12,https://cafe.naver.com/luxury009/1318570,,,5,51,코수술 후 생긴 단차가 심해져서 재수술 받기로 했어요...,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-14,https://cafe.naver.com/feko/9801230,,,19,179,코성형 병원을 알아보고 있는데요!!!,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-18,https://cafe.naver.com/feko/9808826,,,11,186,코수술 자연스러운 병원으로 알아보는 중인데요!,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-18,https://cafe.naver.com/feko/9808456,,,8,78,코수술 상담 몇곳 정도 돌아보셨나요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-19,https://cafe.naver.com/luxury009/1322189,,,4,192,코수술 부작용?으로 코끝부분에 단차 생긴거 더 패이는거 같은데,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-21,https://cafe.naver.com/feko/9822627,,,8,127,자연스럽게 코수술 하려고 병원 알아보신분,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
