날짜,담당자,,글 제목,게시글 URL,댓글,조회수,작업자,쪽지 수량
2026-02-12,차예나 매니저,,매부리코 무보형물로 아우어에서 수술받은지 2주차요ㅎㅎ,https://cafe.naver.com/feko/10407618,0,39,차예나 매니저,
2026-02-11,차예나 매니저,,"코끝단차, 연골비침 때문에 다시 또 한번의 재수술을 받고 2달차",https://cafe.naver.com/luxury009/1422938,2,19,차예나 매니저,
2026-02-11,차예나 매니저,,아우어성형외과 휜코+매부리코 무보형물코수술 후기,https://cafe.naver.com/feko/10403373,2,45,차예나 매니저,
2026-02-10,차예나 매니저,,매부리코 무보형물 8개월차 처짐없고 콧대도 매끄럽게 유지되서 다행요,https://cafe.naver.com/luxury009/1422433,1,17,차예나 매니저,
2026-02-09,차예나 매니저,,,https://cafe.naver.com/feko/10395201,0,0,차예나 매니저,
2026-02-09,차예나 매니저,,신사 아우어성형외과 무보형물코수술 상담후기,https://cafe.naver.com/feko/10395076,5,25,차예나 매니저,
2026-02-06,차예나 매니저,,매부리 깔끔하게 정리되서 인상 좋아졌어요😊,https://cafe.naver.com/feko/10388295,1,59,차예나 매니저,
2026-02-05,차예나 매니저,,비개방 코끝단차 재수술후기,https://cafe.naver.com/luxury009/1420547,10,59,차예나 매니저,
2026-02-03,차예나 매니저,,뭉툭한 복코와 옆라인이 맘에들지 않아 받은 복코수술 후기,https://cafe.naver.com/feko/10375123,2,88,차예나 매니저,
2026-02-03,차예나 매니저,,코끝단차 비개방재수술 3개월차 잘 채워졌어요,https://cafe.naver.com/luxury009/1419139,2,24,차예나 매니저,
2026-01-29,차예나 매니저,,대성공 콧볼축소 2주차 흉터 안남을거 같아요ㅜㅜㅜㅜㅜㅜㅜ,https://cafe.naver.com/feko/10358746,8,253,차예나 매니저,1
2026-01-29,차예나 매니저,,라인 울퉁불퉁했던 코끝단차 재수술 3개월차,https://cafe.naver.com/luxury009/1416660,2,20,차예나 매니저,1
2026-01-29,차예나 매니저,,짧은 복코 무보형물코성형으로 자연스럽게 수술한 후기🙌,https://cafe.naver.com/feko/10358620,1,151,차예나 매니저,
2026-01-27,차예나 매니저,,비중격만곡증 때문에 기능코와 낮은 콧대 때문에 미용코 같이 자연스럽게 받은 후기요,https://cafe.naver.com/feko/10348853,0,73,차예나 매니저,
2026-01-27,차예나 매니저,,아우어성형외과 복코 자연자려 직반라인 무보형물코수술 상담후기,https://cafe.naver.com/feko/10348829,3,42,차예나 매니저,1
2026-01-26,차예나 매니저,,코끝처짐이 심한 화살코였고 무보형물로 코수술한지 10달차 직반라인으로 유지 잘되는 중 ㅠㅠ,https://cafe.naver.com/luxury009/1414554,3,51,차예나 매니저,1
2026-01-22,차예나 매니저,,22년도 무보형물로 코수술 후 코끝단차 생긴게 심해져서 코끝단차 채웠는데 단차는 사라졌어요ㅠ,https://cafe.naver.com/luxury009/1412770,4,69,차예나 매니저,2
2026-01-21,차예나 매니저,,매부리코 + 긴코 무보형물코성형으로 수술하고 온 2주차 후기,https://cafe.naver.com/feko/10327826,0,186,차예나 매니저,
2026-01-21,차예나 매니저,,아우어 매부리코 무보형물 상담후기요,https://cafe.naver.com/feko/10327712,2,42,차예나 매니저,1
2026-01-20,차예나 매니저,,아우어성형외과 무보형물코수술 2주차 후기 매부리코 코끝처짐 심함,https://cafe.naver.com/feko/10323241,5,216,차예나 매니저,2
2026-01-19,차예나 매니저,,남자코수술 후기 신사 아우어성형외과 이우연 대표원장님,https://cafe.naver.com/feko/10318000,0,117,차예나 매니저,
2026-01-16,차예나 매니저,,낮고 짧은 복코 자연스럽게 수술받은 2주차 후기요!,https://cafe.naver.com/feko/10310737,2,190,차예나 매니저,
2026-01-15,차예나 매니저,,복코 무보형물로 수술받은지 이제 곧 10개월 되는데 얄쌍+오똑하게 유지잘되는 중ㅜㅜㅜ,https://cafe.naver.com/luxury009/1408913,8,75,차예나 매니저,2
2026-01-15,차예나 매니저,,아우어성형외과 이우연원장 무보형물코성형 후기 매부리코 + 코끝처짐,https://cafe.naver.com/feko/10306668,22,423,차예나 매니저,7
2026-01-14,차예나 매니저,,신사 아우어성형외과 매부리코+긴코 교정 수술받은 후기,https://cafe.naver.com/feko/10300445,0,83,차예나 매니저,
2026-01-13,차예나 매니저,,아우어 매부리코 코끝처짐 무보형물 상담후기,https://cafe.naver.com/feko/10297146,4,69,차예나 매니저,2
2026-01-09,차예나 매니저,,✨ 코재수술 후기네요 실리콘 티 많이나고 찝힌코 모양으로 나와서 재수술 했어요,https://cafe.naver.com/feko/10285210,0,218,차예나 매니저,
2026-01-09,차예나 매니저,,복코수술 무보형물로 받은거 지금까지 코모양도 얄쌍하고 코끝도 처지는거 없으면 괜찮은거겠죠..,https://cafe.naver.com/luxury009/1405692,7,66,차예나 매니저,3
2026-01-09,차예나 매니저,,아우어 성형외과 복코수술 자려st로 받은 후기,https://cafe.naver.com/feko/10285016,13,340,차예나 매니저,4
2026-01-08,차예나 매니저,,신사역 아우어성형외과 매부리코 수술후기용,https://cafe.naver.com/feko/10281372,6,150,차예나 매니저,3
2026-01-08,차예나 매니저,,못생긴 복코+매부리코 때문에 코수술 받아봤어요..!,https://cafe.naver.com/feko/10281259,4,139,차예나 매니저,
2026-01-07,차예나 매니저,,매부리와 넓은코모양 때문에 코수술하면서 눈도 같이 했어요😊,https://cafe.naver.com/feko/10276824,0,87,차예나 매니저,
2026-01-07,차예나 매니저,,아우어성형외과 매부리코 무보형물코성형 2주차 후기입니당,https://cafe.naver.com/feko/10276710,1,136,차예나 매니저,
2026-01-06,차예나 매니저,,코끝단차 때문에 비개방재수술 받은 후기,https://cafe.naver.com/feko/10272571,9,200,차예나 매니저,1
2026-01-06,차예나 매니저,,매부리코 무보형물코수술 아우어성형외과 한달차 후기,https://cafe.naver.com/feko/10272383,0,109,차예나 매니저,
