날짜,,,글 제목,게시글 URL,,,,,댓글,조회수,,,,병원,,작업자
2026-01-21,,,매부리코 + 긴코 무보형물코성형으로 수술하고 온 2주차 후기,https://cafe.naver.com/feko/10327826,,,,,1,72,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-21,,,아우어 매부리코 무보형물 상담후기요,https://cafe.naver.com/feko/10327712,,,,,1,16,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-20,,,아우어성형외과 무보형물코수술 2주차 후기 매부리코 코끝처짐 심함,https://cafe.naver.com/feko/10323241,,,,,0,0,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-19,,,남자코수술 후기 신사 아우어성형외과 이우연 대표원장님,https://cafe.naver.com/feko/10318000,,,,,0,72,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-16,,,낮고 짧은 복코 자연스럽게 수술받은 2주차 후기요!,https://cafe.naver.com/feko/10310737,,,,,2,142,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-15,,,복코 무보형물로 수술받은지 이제 곧 10개월 되는데 얄쌍+오똑하게 유지잘되는 중ㅜㅜㅜ,https://cafe.naver.com/luxury009/1408913,,,,,6,50,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-15,,,아우어성형외과 이우연원장 무보형물코성형 후기 매부리코 + 코끝처짐,https://cafe.naver.com/feko/10306668,,,,,16,167,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-14,,,신사 아우어성형외과 매부리코+긴코 교정 수술받은 후기,https://cafe.naver.com/feko/10300445,,,,,0,52,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-13,,,아우어 매부리코 코끝처짐 무보형물 상담후기,https://cafe.naver.com/feko/10297146,,,,,4,49,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-09,,,✨ 코재수술 후기네요 실리콘 티 많이나고 찝힌코 모양으로 나와서 재수술 했어요,https://cafe.naver.com/feko/10285210,,,,,0,166,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-09,,,복코수술 무보형물로 받은거 지금까지 코모양도 얄쌍하고 코끝도 처지는거 없으면 괜찮은거겠죠..,https://cafe.naver.com/luxury009/1405692,,,,,6,51,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-09,,,아우어 성형외과 복코수술 자려st로 받은 후기,https://cafe.naver.com/feko/10285016,,,,,11,239,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-08,,,신사역 아우어성형외과 매부리코 수술후기용,https://cafe.naver.com/feko/10281372,,,,,6,126,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-08,,,못생긴 복코+매부리코 때문에 코수술 받아봤어요..!,https://cafe.naver.com/feko/10281259,,,,,4,125,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-07,,,매부리와 넓은코모양 때문에 코수술하면서 눈도 같이 했어요😊,https://cafe.naver.com/feko/10276824,,,,,0,77,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-07,,,아우어성형외과 매부리코 무보형물코성형 2주차 후기입니당,https://cafe.naver.com/feko/10276710,,,,,1,115,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-06,,,코끝단차 때문에 비개방재수술 받은 후기,https://cafe.naver.com/feko/10272571,,,,,6,152,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-06,,,매부리코 무보형물코수술 아우어성형외과 한달차 후기,https://cafe.naver.com/feko/10272383,,,,,0,92,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-05,,,코끝처짐 무보형물코재수술 아우어성형외과 수술 1달차 후기,https://cafe.naver.com/feko/10268031,,,,,0,148,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-05,,,매부리와 단차있던 코 비개방으로 코수술한 후기요,https://cafe.naver.com/feko/10267958,,,,,0,105,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-02,,,신사 아우어성형외과 무보형물로 자연스럽게 수술하고 1달차,https://cafe.naver.com/feko/10261331,,,,,4,145,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-02,,,코수술만 N번째 마지막이길 바라며 코끝단차와 연골비침 때문에 재수술한 후기,https://cafe.naver.com/feko/10261171,,,,,0,188,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-30,,,매부리 심하고 코끝처짐도 있어서 코수술 받았어요...!,https://cafe.naver.com/feko/10252762,,,,,4,130,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
