날짜,조회수,댓글,게시글 URL,글 제목,작업자,쪽지 수량
2026-01-19,259,11,https://daedamo.com/hairline/49499,결혼 앞두고 여자 헤어라인 고민 중… 병원 어디가 좋을까요?,고서진 팀장,
2026-01-22,,,https://cafe.naver.com/feko/10329860,나이 들수록 이마가 같이 넓어지는 느낌..?ㅠㅠ,김예지 매니저,
2026-01-22,,,https://cafe.naver.com/imaban/1309830,앞머리 없으면 불안해요😥,김예지 매니저,
2026-01-26,,,https://cafe.naver.com/feko/10342070,헤어라인 살짝만 내리고 싶어요,김예지 매니저,
2026-01-30,,,https://cafe.naver.com/imaban/1311522,"정수리 때문에 스트레스에요ㅠㅠ 두피문신, 모발이식 뭘 할까요?",김예지 매니저,
2026-02-05,,,https://cafe.naver.com/30talmo/190669,탈모약 복용만으론 한계를 느끼고 있습니다,김예지 매니저,
2026-02-06,,,https://cafe.naver.com/feko/10387648,유전을 탈모약만으론 막을 수 없을 것 같습니다,김예지 매니저,
2026-02-06,,,https://cafe.naver.com/imaban/1312839,미용적인 이유로 모발이식 하는 경우도 많은가요?,김예지 매니저,
2026-02-06,293,8,https://daedamo.com/graft/611443,지방 거주자인데 서울에서 모발이식 받는 게 맞을지 고민입니다,고서진 팀장,
2026-02-09,,,https://cafe.naver.com/feko/10404754,원장님 너무 많지 않은 모발이식 병원,김예지 매니저,
2026-02-10,,,https://cafe.naver.com/30talmo/190766,피할 수 없는 유전 모발이식 고민중입니다,김예지 매니저,
2026-02-12,146,2,https://daedamo.com/graft/612181,결혼 1년 남기고 여자 헤어라인 수술 일정 잡고 왔어요,고서진 팀장,
2026-02-13,33,,https://daedamo.com/graft/612300,지방러인데 결국 용닥터 모프로 상담 다녀오기로 마음먹었습니다,고서진 팀장,
