날짜,글 제목,게시글 URL,,,댓글,조회수,,,,병원,,,작업자
2026-01-21,신사역 지힐링 복부 지방추출주사 지팻 상담후기 올려봐요,https://cafe.naver.com/feko/10327745,,,1,8,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-20,지힐링 복부 지방추출주사 지팻 한달차 후기 입니다,https://cafe.naver.com/feko/10323002,,,10,129,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-20,,https://cafe.naver.com/feko/10322294,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-20,지팻으로 여리여리한 다리 기대중,https://cafe.naver.com/newsmaker/1085129 ,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-20,지방추출주사로 허틈 만들고 왔어요,https://cafe.naver.com/feko/10320967,,,2,40,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-19,지힐링에서 팔뚝 상담받았어요!,https://cafe.naver.com/feko/10317573,,,0,22,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-16,복부 지방추출주사 받고 왔어요 (솔직하게 적어보는 시술 후 느낀점),https://cafe.naver.com/feko/10310738,,,2,80,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-16,팔뚝살 지방추출주사 두달차 후기,https://cafe.naver.com/newsmaker/1084721,,,1,35,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-15,생각보다 괜찮았던 허벅지 지방추출주사 일주일 경과,https://cafe.naver.com/feko/10306178,,,1,41,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-15,지힐링 지팻 팔뚝 시술 두달차 솔직후기,https://cafe.naver.com/feko/10305216,,,4,106,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-15,지힐링 허벅지 지방추출주사 1개월차 후기,https://cafe.naver.com/feko/10303420,,,2,75,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-13,팔뚝 지팻 무제한 지방추출주사 한달 반 후기,https://cafe.naver.com/feko/10297332,,,12,124,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-13,옆구리랑 아랫배 지방추출주사 1주차 후기,https://cafe.naver.com/fox5282/4645987,,,2,19,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-13,복부 지방추출주사 4주차 변화가 보이기 시작,https://cafe.naver.com/feko/10296878,,,2,45,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-12,지힐링 지방추출주사 상담 받고 왔어요,https://cafe.naver.com/feko/10292005,,,2,30,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-12,지출주받기로했어요!!!!!!!,https://cafe.naver.com/feko/10288796,,,4,55,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-12,지힐링으로 결정 완,https://cafe.naver.com/newsmaker/1084155,,,7,35,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,한혜빈 매니저
2026-01-12,허벅지 지방추출주사 상담후기 올려봐용~!,https://cafe.naver.com/feko/10290078,,,4,58,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-12,,https://gnun.link/comm/3751217,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,오노 아키코 매니저
2026-01-09,신사역 지힐링스퀘어 복부 지방추출주사 지팻 상담 후기,https://cafe.naver.com/feko/10282998,,,13,196,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-08,허벅지 지팻 혼자서 하고 왔어욬ㅋㅋ,https://cafe.naver.com/feko/10279686,,,1,33,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-08,시간 순서로 정리 해보는 옆구리+아랫배 지방추출주사 후기,https://cafe.naver.com/feko/10279492,,,2,57,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-07,빨리 날씨가 따듯해졌으면 좋겠어요,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-07,지힐링 복부 지방추출주사 지팻 상담 후기,https://cafe.naver.com/feko/10273819,,,12,121,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-06,지힐링스퀘어 허벅지 지방추출주사 한달차 솔직 후기,https://cafe.naver.com/feko/10272581,,,5,145,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2026-01-05,눈바디 이상 없음! 이제 운동 시작해야죠ㅋㅋㅋ,https://cafe.naver.com/feko/10266832,,,3,27,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-05,경기도에서 서울까지 가서 지출주 받고 왔어요,https://cafe.naver.com/fox5282/4633439,,,3,22,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2026-01-05,신사역 지방추출주사 상담 후기!,https://cafe.naver.com/feko/10266266,,,2,54,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-30,허벅지 고민 때문에 상담 받고 왔어요,https://cafe.naver.com/feko/10252063,,,1,36,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-29,허리 라인이 거의 없는 통짜 몸매 지방추출주사 상담 받았어요,https://cafe.naver.com/feko/10248194,,,2,34,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-26,, https://abr.ge/tnekcr8,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,오노 아키코 매니저
2025-12-26,지팻으로 승마살 뺀지 한달차,https://cafe.naver.com/fox5282/4621871,,,3,22,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-24,#지방추출주사 (지난주에 해서 일주일 됐어요),https://cafe.naver.com/fox5282/4620022,,,1,51,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-22,지힐링스퀘어 복부 지팻 시술 4주차 후기,https://cafe.naver.com/feko/10229222,,,15,179,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,12월 21일 업로드 ,https://abr.ge/094047,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,12월 20일 업로드 ,https://abr.ge/g76utf,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,12월 20일 업로드 ,https://abr.ge/xg01d1,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,12월 20일 업로드 ,https://abr.ge/m7wusy,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,옆구리는 파이고 허벅지 사이즈도 줄기 시작 지방추출주사(지팻) 한 달 차,https://cafe.naver.com/feko/10228864,,,1,56,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-22,상체 지방추출주사 시술 두달 차 변화 기록!,https://cafe.naver.com/newsmaker/1082076,,,0,42,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-22,"지힐링 지방추출주사 상체 두달차 후기 (붓기,멍,부작용 정리)",https://cafe.naver.com/feko/10224119,,,4,176,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-19,시술도 중독?! 복부 지방추출주사 지팻 후기 (4일차),https://cafe.naver.com/feko/10223284,,,8,128,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-19,,https://abr.ge/19ykp6,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,오노 아키코 매니저
2025-12-19,,https://cafe.naver.com/feko/10221317?art=aW50ZXJuYWwtY2FmZS1hcnRpY2xlLXJlYWQtc2hhcmUtbGluaw.eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjYWZlVHlwZSI6IkNBRkVfSUQiLCJhcnRpY2xlSWQiOjEwMjIxMzE3LCJpc3N1ZWRBdCI6MTc2NjExNzAwMDA5MCwiY2FmZUlkIjoxMDkxMjg3NX0.UZbwfeWNZblgitSwwhyOQpF0xbqrs6sMULz8BtxEsnY,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-18,북부 지팻 3일차 초반 회복 과정 정리해봤어요,https://cafe.naver.com/feko/10217351,,,1,48,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
