날짜,,글 제목,게시글 URL,,댓글,조회수,,쪽지 수량,,,,,병원,작업자
2026-01-21,,코 구축 겪어보신 분 있나요?,https://cafe.naver.com/luxury009/1412063,,5,30,,,,,,,,박민정 매니저
2026-01-21,,,https://cafe.naver.com/feko/10326991,,0,0,,,,,,,,차예나 매니저
2026-01-20,,실리콘 빼 보신 분 있으면 글 봐주세요,https://cafe.naver.com/luxury009/1411263,,3,28,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-19,,콧대 휘고 콧구멍 짝짝이 프리마 코 전체제거 후기,https://cafe.naver.com/luxury009/1410497,,0,1,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2026-01-19,,코 모양 불만족 제거해본 분 있나요?,https://cafe.naver.com/feko/10316255,,1,5,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-16,,극한 코 전문적으로 보는 병원 정보 좀 알려주실분,https://cafe.naver.com/feko/10309744,,13,65,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-15,,몇년전에 코수술 받았던거 전체제거 고민요ㅠ,https://cafe.naver.com/feko/10305835,,3,37,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2026-01-15,,코 수술 일상생활이 불편해요... 제거 할까요?,https://cafe.naver.com/luxury009/1408772,,2,28,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-14,,코 제거 어디로 갈지 고민되네요,https://cafe.naver.com/feko/10300156,,0,3,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-13,,실리콘 제거 삼대장 + 제거전문 병원 정보,https://cafe.naver.com/feko/10296190,,5,41,,,,,,,,차예나 매니저
2026-01-09,,코 실리콘 제거 병원 더 없나요ㅠㅠㅠ,https://cafe.naver.com/feko/10283274,,2,13,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-08,,코 전체제거 코끝연골재배치까지도 생각하고 있어요,https://cafe.naver.com/feko/10280026,,1,6,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2026-01-05,,코 전체제거 병원을.. 더 알 수 있을지...,https://cafe.naver.com/luxury009/1402991,,3,17,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-26,,프리마 코 전체제거 수술,https://cafe.naver.com/feko/10241433,,4,83,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-23,,코 조기제거 병원 급합니다ㅠㅠㅠㅠㅠ 제발 알려주세요,https://cafe.naver.com/feko/10232713,,6,103,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-15,,전체제거 코끝재배치 같이 받고싶어요,https://cafe.naver.com/feko/10201722,,2,54,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-12,,코 전체 제거 도와주세요 ㅜ,https://cafe.naver.com/luxury009/1390427,,3,84,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-12,,코 제거하려고 합니다,https://cafe.naver.com/luxury009/1390219,,6,86,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-11,,코 전체 제거하고 싶어요ㅠㅠ,https://cafe.naver.com/luxury009/1389561,,4,88,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-11,,코 제거할 병원 추천부탁드릴게요,https://cafe.naver.com/feko/10190451,,14,163,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-10,,실리콘 제거했을 때 코끝모양은 어떻게 나와요.....?,https://cafe.naver.com/luxury009/1388859,,1,94,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-10,,코 제거 하는게 낫겠죠?,https://cafe.naver.com/luxury009/1388490,,7,216,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
