날짜,,글 제목,게시글 URL,,,,댓글,조회수,,,,,,병원,작업자
2026-01-08,,제거 3대장 프리마 실리콘제거 후기,https://cafe.naver.com/feko/10279619,,,,26,97,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-07,,결국 코 조기 전체제거 수술했습니다ㅜㅜ,https://cafe.naver.com/luxury009/1404368,,,,6,70,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2026-01-07,,구축 염증코 제거 수술해요...,https://cafe.naver.com/luxury009/1404336,,,,3,59,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-06,,프리마 곽혁준원장님한테 구축 코 실리콘제거 받아요,https://cafe.naver.com/feko/10271106,,,,24,166,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-05,,실리콘 비침으로 제거 수술 받아요,https://cafe.naver.com/luxury009/1402922,,,,3,53,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2026-01-02,,프리마성형외과 코 실리콘 제거했어요,https://cafe.naver.com/feko/10258996,,,,46,463,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-22,,프리마성형외과 조기제거 상담후기,https://cafe.naver.com/feko/10227950,,,,8,240,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-19,,프리마성형외과 실리콘 제거 코끝 무보형물 수술 후기요,https://cafe.naver.com/feko/10221707,,,,48,615,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-19,,실리콘 이물감이 너무 심해서 코제거했어요,https://cafe.naver.com/luxury009/1395127,,,,3,131,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-18,,프리마에서 L자실리콘 제거 수술해요,https://cafe.naver.com/feko/10216110,,,,15,143,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),"박민정 매니저,박민정 매니저"
2025-12-17,,프리마 코제거 상담 받았습니다,https://cafe.naver.com/feko/10211274,,,,35,202,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),"박민정 매니저,박민정 매니저"
2025-12-16,,프리마 실리콘 귀연골 전체제거 상담 다녀왔어요,https://cafe.naver.com/feko/10205394,,,,19,252,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),"박민정 매니저,박민정 매니저"
2025-12-15,,프리마 전체제거 후기,https://cafe.naver.com/luxury009/1392540,,,,12,110,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-11,,프리마 성형외과 전체제거 코제거 상담 후기,https://cafe.naver.com/feko/10192443,,,,100,839,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-10,,프리마 실리콘 늑 전체 제거 상담 받았어요,https://cafe.naver.com/feko/10186228,,,,18,104,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-28,,프리마 코 실리콘 제거 상담하고 왔어요,https://cafe.naver.com/luxury009/1381698,,,,8,214,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-25,,,https://cafe.naver.com/feko/10134469,,,,0,0,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-20,,,https://cafe.naver.com/feko/10119487,,,,0,0,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-18,,프리마성형외과 코제거 전체제거 상담후기,https://cafe.naver.com/feko/10123041,,,,34,1033,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-11,,,https://cafe.naver.com/feko/10085444,,,,0,0,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-07,,프리마성형외과 실리콘제거 코끝 무보형물 재수술 상담후기요,https://cafe.naver.com/feko/10073792,,,,41,820,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-06,,,https://cafe.naver.com/feko/10069866,,,,0,0,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
