날짜,게시글 URL,댓글,조회수,글 제목,작업자,쪽지 수량
2026-02-19,https://sungyesa.com/d04/323431,,,이마거상 추미근절제 했고 이마축소는 골막고정으로 같이받은 후기~,차예나 매니저,
2026-02-19,https://cafe.naver.com/feko/10420435,1,16,히트성형외과 한상철원장님 내시경이마거상 실고정 본터널링 상담후기,차예나 매니저,
2026-02-19,https://cafe.naver.com/feko/10419779,0,35,히트성형외과 자연스러운 쌍수 후기에요,차예나 매니저,
2026-02-19,https://cafe.naver.com/feko/10417344,0,12,"히트성형외과에서 얼지흡, 근육묶기 같이받고 성공한 후기",한혜빈 매니저,
2026-02-13,https://cafe.naver.com/feko/10408784,2,52,히트성형외과에서 얼지흡받았어요!,한혜빈 매니저,
2026-02-13,https://cafe.naver.com/feko/10408589,1,36,히트 유상수원장님께 수술받은지 2주 넘었어요!,한혜빈 매니저,
2026-02-12,https://sungyesa.com/hlist/345014,,,병원찾아삼만리 후기,차예나 매니저,
2026-02-12,https://sungyesa.com/hlist/344981,,,병원찾아삼만리 후기,차예나 매니저,
2026-02-11,https://cafe.naver.com/feko/10402634,1,27,히트 한상철 복코교정 무보형물수술 후기!!,차예나 매니저,
2026-02-11,https://cafe.naver.com/feko/10400638,0,0,,한혜빈 매니저,
2026-02-10,https://cafe.naver.com/feko/10397770,3,48,짧고 눌려보이던 코모양 입체감 살아남!😭😭😭,차예나 매니저,
2026-02-10,https://cafe.naver.com/feko/10396566,4,17,히트에서 쌍트받고 왔어요!,한혜빈 매니저,
2026-02-09,https://cafe.naver.com/feko/10393332,2,101,히트 이마거상 이마축소 같이 받은 후기입니다!,차예나 매니저,
2026-02-06,https://cafe.naver.com/feko/10387760,7,77,"히트성형외과 이마축소 금액, 김정호원장님 상담후기",차예나 매니저,
2026-02-06,https://cafe.naver.com/feko/10386388,11,48,얼지흡 받은지 2주 되어가는 중인데 효과 미쳤어요..,한혜빈 매니저,
2026-02-06,https://cafe.naver.com/feko/10386343,2,99,남자 이마거상 눈수술 후기입니다,차예나 매니저,
2026-02-06,https://cafe.naver.com/feko/10386182,4,34,히트성형외과 쌍수 상담후기,한혜빈 매니저,
2026-02-05,https://cafe.naver.com/feko/10381517,0,0,,한혜빈 매니저,
2026-02-04,https://cafe.naver.com/feko/10378835,10,73,눈매 무너져보여서 내시경이마거상 실고정으로 받은 후기,차예나 매니저,
2026-02-04,https://cafe.naver.com/feko/10377285,9,89,히트성형외과 무보형물코수술 코끝성형 후기입니당,차예나 매니저,
2026-02-03,https://cafe.naver.com/feko/10374638,2,107,수술 후기 남겨볼게요 (윤곽 10년차 안면거상),차예나 매니저,
2026-02-03,https://cafe.naver.com/feko/10372932,6,66,히트에서 얼지랑 실리프팅 성공했어요!!,한혜빈 매니저,1
2026-02-03,https://cafe.naver.com/feko/10372857,1,19,히트에서 눈 수술한지 2주차에요,한혜빈 매니저,
2026-02-02,https://cafe.naver.com/feko/10369738,2,91,"강남 중년 안면목거상 히트성형외과 수술비, 상담후기",차예나 매니저,
2026-02-02,https://cafe.naver.com/feko/10369581,12,94,내시경이마거상 7주차 후기,차예나 매니저,
2026-02-02,https://cafe.naver.com/feko/10368794,22,377,이마거상 + 이마축소 3주차 된 후기,차예나 매니저,
2026-01-30,https://cafe.naver.com/feko/10362721,0,0,,박민정 매니저,
2026-01-30,https://cafe.naver.com/feko/10362223,6,288,히트 김정호 원장님 이마축소+이마거상 2주차 후기,박민정 매니저,
2026-01-30,https://cafe.naver.com/feko/10360739,5,140,복코 스트레스가 너무커서 코수술 받은후기잉,차예나 매니저,
2026-01-29,https://cafe.naver.com/feko/10358414,1,87,히트성형외과 이마축소 상담후기 솔직 정리,박민정 매니저,
2026-01-29,https://cafe.naver.com/feko/10358354,9,92,히트성형외과 이마축소 상담후기,차예나 매니저,2
2026-01-29,https://cafe.naver.com/feko/10357028,2,40,히트에서 꼬막눈 탈출한 후기,한혜빈 매니저,1
2026-01-28,https://sungyesa.com/d03/724660,,79,자연유착 눈매교정 히트 무쌍 쌍수 후기,차예나 매니저,
2026-01-28,https://cafe.naver.com/feko/10351663,14,135,자연유착+눈매교정 무쌍탈출 자연스럽게 성공했어용~~~!,차예나 매니저,1
2026-01-27,https://cafe.naver.com/feko/10348082,7,126,히트 유상수 원장님께 눈밑지한지 2달!!,한혜빈 매니저,3
2026-01-27,https://cafe.naver.com/feko/10347695,3,98,히트성형외과에서 이마축소하고 2일차요,박민정 매니저,
2026-01-26,https://sungyesa.com/d04/321853,,97,얼지흡이랑 실리프팅 만추만추 이중턱 날렸다ㅜㅜ,차예나 매니저,
2026-01-26,https://sungyesa.com/hlist/340182,,,병원찾아삼만리 리뷰,차예나 매니저,
2026-01-26,https://cafe.naver.com/feko/10343753,2,46,히트성형외과 중년안면목거상 박정열 원장님 상담후기,차예나 매니저,1
2026-01-26,https://cafe.naver.com/feko/10343644,12,268,"내시경이마거상 1달차 후기, 꺼진 눈과 사납고 답답한 눈매고민",차예나 매니저,4
2026-01-26,https://sungyesa.com/hlist/340132,,,병원찾아삼만리 리뷰,차예나 매니저,
2026-01-26,https://cafe.naver.com/feko/10342068,2,64,이마축소 저도 할 만한 수술 같아요,박민정 매니저,
2026-01-26,https://cafe.naver.com/feko/10342848,2,36,히트 쌍수+뒤밑트임 한달째!!,한혜빈 매니저,1
2026-01-23,https://sungyesa.com/d04/321692,3,991,[이마] 내시경이마거상 두달차 후기,차예나 매니저,
2026-01-23,https://cafe.naver.com/feko/10335252,12,165,얼지흡+실리프팅 히트에서 수술받았어요!,김채운 매니저,4
2026-01-22,https://cafe.naver.com/feko/10331975,3,43,히트 최주헌원장님한테 얼지흡 받기로 했어요~,김채운 매니저,1
2026-01-22,https://cafe.naver.com/feko/10332066,7,52,히트성형외과 중년 안면거상 안면목거상 미니거상 가격과 원장님상담 후기,차예나 매니저,3
2026-01-22,https://sungyesa.com/b01/1221421,,262,[복코] 짧은코+복코성형 자가늑 무보형물로 성공 ㅠㅠ,차예나 매니저,
2026-01-22,https://cafe.naver.com/feko/10329821,0,120,히트성형외과 자려하게 받은 쌍트 어때요,차예나 매니저,
2026-01-21,https://sungyesa.com/d04/321546,8,881,이마 절반 줄여지고 쌍꺼풀 라인 드디어 잘보이게된 내시경이마거상 + 이마축소 2달차 후기,차예나 매니저,
2026-01-21,https://cafe.naver.com/feko/10327380,5,68,히트에서 투턱 없애려고 얼지흡받은 1주차 후기,한혜빈 매니저,1
2026-01-21,https://cafe.naver.com/feko/10327350,2,97,히트성형외과 유상수원장님 눈재 상담후기,한혜빈 매니저,1
2026-01-21,https://cafe.naver.com/feko/10326255,24,272,"내시경이마거상 (실고정, 본터널링) 후기",차예나 매니저,8
2026-01-20,https://sungyesa.com/d03/723267,,316,"쌍수재수술, 듀얼트임 두달차 후기다 다시 태어난듯",차예나 매니저,
2026-01-20,https://cafe.naver.com/feko/10322662,5,100,히트성형외과 내시경이마거상 ㅎㅅㅊ 상담후기요,차예나 매니저,
2026-01-20,https://cafe.naver.com/feko/10322082,2,45,"히트에서 뒤밑트임, 눈매교정 하고왔어요",한혜빈 매니저,1
2026-01-20,https://cafe.naver.com/feko/10320793,22,208,자가늑 무보형물코수술 히트성형외과 후기입니당,차예나 매니저,2
2026-01-19,https://cafe.naver.com/feko/10316184,15,330,히트에서 이마축소한지 한달! 이마 변화,박민정 매니저,7
2026-01-16,https://sungyesa.com/hlist/337612,,,병원찾아삼만리 리뷰,차예나 매니저,
2026-01-16,https://sungyesa.com/hlist/337586,,,병원찾아삼만리 리뷰,차예나 매니저,
2026-01-16,https://sungyesa.com/b01/1220436,,435,남자 코성형 후기입니다 다른사람이 됐어요,차예나 매니저,
2026-01-16,https://cafe.naver.com/feko/10308449,17,338,히트에서 넓디넓은 이마 줄인지 두달차에용😆,박민정 매니저,5
2026-01-15,https://sungyesa.com/d03/722417,,483,[트임] 부분절개+눈교+듀얼트임+내시경이마거상 한달 후기,차예나 매니저,
2026-01-15,https://cafe.naver.com/feko/10304679,4,224,히트 유원장님 눈재수술 이렇게 잘해준다고..?,김채운 매니저,2
2026-01-14,https://sungyesa.com/d04/321120,,953,뭔짓을 해도 안빠지던 얼굴살 때문에 미치겠어서 얼굴지방흡입 받고온 후기야,차예나 매니저,
2026-01-14,https://cafe.naver.com/feko/10300417,3,59,히트에서 쌍트 받은지 5일차!,한혜빈 매니저,1
2026-01-14,https://cafe.naver.com/feko/10300130,20,238,강남 히트성형외과 2센치 이마축소 상담후기,박민정 매니저,11
2026-01-14,https://cafe.naver.com/feko/10299921,2,210,남자친구 코수술 진짜 잘된거같죠...?,차예나 매니저,
2026-01-13,https://sungyesa.com/b01/1219786,,459,"코수술하고 한달차인데 아직도 옆라인 달라진건 실화인가 싶어,,,,,,,,,,,,",차예나 매니저,
2026-01-13,https://cafe.naver.com/feko/10296610,6,124,히트성형외과 내시경이마거상 대표원장 상담후기,차예나 매니저,2
2026-01-13,https://cafe.naver.com/feko/10295169,6,208,히트성형외과 자가늑 코수술 상담+수술후기,차예나 매니저,1
2026-01-13,https://cafe.naver.com/feko/10294547,2,36,히트에서 쌍트 받기로 결정했어요!,한혜빈 매니저,1
2026-01-12,https://cafe.naver.com/feko/10290800,11,261,히트에서 이마거상+쌍트 수술 받고 훨씬 자연스러워졌어요,김채운 매니저,3
2026-01-12,https://cafe.naver.com/feko/10290279,4,50,얼지흡 상담 완료!,김채운 매니저,2
2026-01-09,https://sungyesa.com/d03/721286,,795,눈재수술 하고나니 어울리게 쌍수해야하는 중요함을 알았음ㅎㅋ,차예나 매니저,
2026-01-09,https://cafe.naver.com/feko/10283656,17,282,얼굴살 많으면 얼지흡 강추강추!!!!,김채운 매니저,3
2026-01-08,https://cafe.naver.com/feko/10280420,5,98,내일 히트 유상수원장님한테 쌍트 받으러 가요...!,김채운 매니저,2
2026-01-08,https://cafe.naver.com/feko/10278442,6,160,왜 이제서야 했을까 싶은... 낮고 뭉툭한코 자려하게 수술한 1개월차 후기,차예나 매니저,
2026-01-07,https://sungyesa.com/d04/320651,7,"1,123",이마거상(추미근절제)+이마축소(골막고정) 후기야..ㅎ,차예나 매니저,
2026-01-07,https://cafe.naver.com/feko/10275741,8,103,강남 히트 성형외과 내시경이마거상 실고정 상담 후기,차예나 매니저,4
2026-01-07,https://cafe.naver.com/feko/10274738,12,201,미운눈매 히트에서 재수술받고 이미지 변신했어요ㅎㅎ,김채운 매니저,2
2026-01-06,https://cafe.naver.com/feko/10272237,14,243,내시경이마거상 히트 성형외과 3주차 후기,차예나 매니저,7
2026-01-06,https://cafe.naver.com/feko/10271675,0,0,,김채운 매니저,1
2026-01-06,https://cafe.naver.com/feko/10269604,28,458,히트성형외과에서 이마축소+이마거상 하고 동안되기,박민정 매니저,11
2026-01-05,https://sungyesa.com/b01/1218385,4,571,코가 전체적인 얼굴라인? 선? 바뀌는건 진짜인거 같아,차예나 매니저,
2026-01-05,https://cafe.naver.com/feko/10267430,17,66,얼지흡+근육묶기 히트에서 받기로 했어요!,김채운 매니저,7
2026-01-05,https://cafe.naver.com/feko/10266185,20,334,코끝모양 때문에 히트성형외과에서 코수술 받은 후기에요,차예나 매니저,8
2026-01-02,https://sungyesa.com/b01/1217994,,308,코수술 받은거 후기 이제 거의 내코느낌? 자리잡은듯,차예나 매니저,
2026-01-02,https://cafe.naver.com/feko/10260462,15,313,"히트 성형외과 한상철 대표원장님 코수술 후기입니다,,🫠",차예나 매니저,7
2026-01-02,https://cafe.naver.com/feko/10259218,9,71,꼬막눈 히트에서 탈출하는걸로 정했어요!,김채운 매니저,3
2025-12-31,https://cafe.naver.com/feko/10254964,28,253,히트 최주헌원장님 얼지흡 너무 잘하잖아ㅠㅠ,김채운 매니저,1
2025-12-31,https://cafe.naver.com/feko/10254948,2,172,히트성형외과 이마축소 상담 했어용,박민정 매니저,
2025-12-30,https://sungyesa.com/d04/320254,,,흉터없이 이마축소한 후기,박민정 매니저,
2025-12-30,https://cafe.naver.com/feko/10252408,9,57,얼지흡이랑 근육묶기 같이 받기로 정했어요~!,김채운 매니저,1
2025-12-30,https://cafe.naver.com/feko/10250552,2,93,제 인생 첫 쌍수 완료 했어요옹~!ㅎㅎ,김채운 매니저,1
2025-12-30,https://cafe.naver.com/feko/10249912,14,331,흉터 없이 이마축소한 후기ㅎㅎㅎ,박민정 매니저,3
2025-12-29,https://sungyesa.com/b01/1217441,,,자려느낌 코수술 원하는 예사?,박민정 매니저,
2025-12-29,https://sungyesa.com/d04/320213,,,얼지흡 실리프팅 후기 턱라인 고민중이라면..,박민정 매니저,
2025-12-29,https://cafe.naver.com/feko/10246916,6,120,내시경이마거상 수술 1달차 후기요,차예나 매니저,1
2025-12-29,https://cafe.naver.com/feko/10246752,24,343,히트성형외과 한상철원장님 코수술 붓기와 전후 코라인 후기용,차예나 매니저,6
2025-12-29,https://cafe.naver.com/feko/10245605,2,77,둥근 헤어라인으로 이마축소 수술,박민정 매니저,
2025-12-26,https://cafe.naver.com/feko/10240636,8,224,히트에서 얼지흡 수술받고 너무 만족해요!!,김채운 매니저,1
2025-12-24,https://sungyesa.com/b01/1216856,,,실리콘 + 자가늑 코수술 후기 올려본다,박민정 매니저,
2025-12-24,https://sungyesa.com/b01/1216840,,,느좋 코수술 후기 매끈매끈,박민정 매니저,
2025-12-24,https://sungyesa.com/b01/1215964,,,코 첫수에 자가늑 썼다가..,박민정 매니저,
2025-12-24,https://cafe.naver.com/feko/10235999,14,490,신논현 히트 성형외과 자가늑 코수술 후기입니다!!,차예나 매니저,1
2025-12-23,https://sungyesa.com/d04/320001,,,이마축소 회복과정 한달차 공유합니당,박민정 매니저,
2025-12-23,https://cafe.naver.com/feko/10232371,8,329,이마축소 회복과정 한달차 사진!!!!,박민정 매니저,3
2025-12-22,https://cafe.naver.com/feko/10226412,4,233,히트 안면거상. 얼지흡. 하안검재수술까지 중년성형도 결국 원장님 경력이 중요한것같아요,차예나 매니저,1
2025-12-19,https://sungyesa.com/d04/319843,,,히트 김정호원장님한테 2cm이마축소 받았어요,박민정 매니저,
2025-12-19,https://cafe.naver.com/feko/10222153,11,186,히트성형외과 대표원장님 코수술 2주차-1달차 경과랑 후기!!,차예나 매니저,2
2025-12-18,https://cafe.naver.com/feko/10218046,16,235,강남 히트성형외과 이마축소 김정호원장님 상담후기,"박민정 매니저,박민정 매니저",4
2025-12-18,https://sungyesa.com/d04/319795,,,이마축소 한달 후기!!,박민정 매니저,
2025-12-18,https://cafe.naver.com/feko/10218218,6,159,자연유착이랑 트임 히트에서 수술받았어요!,김채운 매니저,2
2025-12-18,https://cafe.naver.com/feko/10216776,14,216,얼지흡+실리프팅 후기입니다!,김채운 매니저,1
2025-12-17,https://sungyesa.com/b01/1215964,,,코 첫수에 자가늑 썼다가..,박민정 매니저,
2025-12-17,https://cafe.naver.com/feko/10211200,16,306,이마축소 후기 올립니다!!,박민정 매니저,5
2025-12-16,https://cafe.naver.com/feko/10208169,4,110,히트에서 이마축소 받은지 세달 지났어요!,"박민정 매니저,박민정 매니저",
2025-12-16,https://cafe.naver.com/feko/10209185,2,138,내시경이마거상 히트성형외과 대표원장님 상담후기요..!,차예나 매니저,1
2025-12-16,https://cafe.naver.com/feko/10208957,8,179,중년거상 히트성형외과에서 안면거상 이마거상 눈수술받은거에요!,차예나 매니저,2
2025-12-16,https://cafe.naver.com/feko/10207947,4,72,쌍트 고민하다 히트에서 하기루 정했어요!,김채운 매니저,1
