날짜,,게시글 URL,,,,,댓글,조회수,글 제목,NEW 댓글,,,병원,작업자
2026-01-21,,https://sungyesa.com/d04/321546,,,,,,,이마 절반 줄여지고 쌍꺼풀 라인 드디어 잘보이게된 내시경이마거상 + 이마축소 2달차 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-21,,https://cafe.naver.com/feko/10327380,,,,,1,11,히트에서 투턱 없애려고 얼지흡받은 1주차 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),한혜빈 매니저
2026-01-21,,https://cafe.naver.com/feko/10327350,,,,,1,13,히트성형외과 유상수원장님 눈재 상담후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),한혜빈 매니저
2026-01-21,,https://cafe.naver.com/feko/10326255,,,,,4,56,"내시경이마거상 (실고정, 본터널링) 후기",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-20,,https://sungyesa.com/d03/723267,,,,,,,"쌍수재수술, 듀얼트임 두달차 후기다 다시 태어난듯",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-20,,https://cafe.naver.com/feko/10322662,,,,,3,34,히트성형외과 내시경이마거상 ㅎㅅㅊ 상담후기요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-20,,https://cafe.naver.com/feko/10322082,,,,,1,19,"히트에서 뒤밑트임, 눈매교정 하고왔어요",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),한혜빈 매니저
2026-01-20,,https://cafe.naver.com/feko/10320793,,,,,4,50,자가늑 무보형물코수술 히트성형외과 후기입니당,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-19,,,,,,,,,,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-19,,https://cafe.naver.com/feko/10316184,,,,,2,98,히트에서 이마축소한지 한달! 이마 변화,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2026-01-16,,https://sungyesa.com/hlist/337612,,,,,,,병원찾아삼만리 리뷰,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
